chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
0.265#-0.173#0.118#0.941,-0.009#0.2#-0.05#0.979,-0.372#0.164#0.109#0.907,0.079#-0.36#0.118#0.922,-0.322#-0.179#0.084#0.926,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.265#-0.173#0.118#0.941,-0.023#0.207#-0.055#0.977,-0.373#0.184#0.101#0.904,0.079#-0.36#0.118#0.922,-0.322#-0.179#0.084#0.926,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.243#-0.159#0.115#0.95,-0.023#0.207#-0.055#0.977,-0.373#0.184#0.101#0.904,0.084#-0.32#0.155#0.931,-0.299#-0.089#0.133#0.941,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.243#-0.159#0.115#0.95,-0.042#0.211#-0.065#0.974,-0.381#0.193#0.095#0.899,0.084#-0.32#0.155#0.931,-0.264#-0.02#0.195#0.944,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.224#-0.145#0.111#0.957,-0.042#0.211#-0.065#0.974,-0.381#0.193#0.095#0.899,0.086#-0.276#0.196#0.937,-0.264#-0.02#0.195#0.944,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.224#-0.145#0.111#0.957,-0.053#0.211#-0.088#0.972,-0.398#0.155#0.091#0.899,0.086#-0.276#0.196#0.937,-0.256#0.04#0.256#0.931,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.207#-0.133#0.108#0.963,-0.053#0.211#-0.088#0.972,-0.398#0.155#0.091#0.899,0.074#-0.226#0.247#0.939,-0.256#0.04#0.256#0.931,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.207#-0.133#0.108#0.963,-0.068#0.209#-0.132#0.967,-0.427#0.139#0.065#0.891,0.074#-0.226#0.247#0.939,-0.277#0.082#0.319#0.902,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.192#-0.125#0.107#0.967,-0.098#0.192#-0.178#0.96,-0.467#0.124#0.031#0.875,0.057#-0.161#0.301#0.938,-0.277#0.082#0.319#0.902,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.175#-0.119#0.103#0.972,-0.098#0.192#-0.178#0.96,-0.467#0.124#0.031#0.875,0.043#-0.082#0.347#0.933,-0.313#0.137#0.372#0.863,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.175#-0.119#0.103#0.972,-0.13#0.168#-0.229#0.95,-0.517#0.118#-0.026#0.847,0.043#-0.082#0.347#0.933,-0.313#0.137#0.372#0.863,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.162#-0.115#0.098#0.975,-0.13#0.168#-0.229#0.95,-0.517#0.118#-0.026#0.847,0.007#-0.007#0.397#0.918,-0.352#0.175#0.427#0.814,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.162#-0.115#0.098#0.975,-0.177#0.132#-0.275#0.936,-0.565#0.096#-0.089#0.815,0.007#-0.007#0.397#0.918,-0.352#0.175#0.427#0.814,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.161#-0.107#0.094#0.977,-0.177#0.132#-0.275#0.936,-0.565#0.096#-0.089#0.815,-0.045#0.043#0.44#0.896,-0.393#0.206#0.481#0.756,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.161#-0.107#0.094#0.977,-0.228#0.086#-0.316#0.917,-0.6#0.058#-0.15#0.783,-0.045#0.043#0.44#0.896,-0.393#0.206#0.481#0.756,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.157#-0.096#0.09#0.979,-0.228#0.086#-0.316#0.917,-0.6#0.058#-0.15#0.783,-0.096#0.066#0.463#0.878,-0.464#0.215#0.503#0.696,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.157#-0.096#0.09#0.979,-0.276#0.052#-0.342#0.897,-0.621#0.022#-0.214#0.753,-0.096#0.066#0.463#0.878,-0.464#0.215#0.503#0.696,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.14#-0.084#0.083#0.983,-0.276#0.052#-0.342#0.897,-0.621#0.022#-0.214#0.753,-0.145#0.056#0.488#0.859,-0.542#0.204#0.489#0.652,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
